favor,favor2,favor3,favor4,favor5,favor6,favor7,favor8,favor9,favor10,favor11,favor12
11.24 ,12.93 ,10.67 ,9.12 ,11.02 ,8.42 ,13.80 ,15.84 ,13.22 ,15.98 ,18.02 ,15.42 
43.90 ,36.16 ,46.48 ,46.33 ,38.64 ,49.15 ,42.41 ,33.21 ,45.06 ,35.71 ,28.00 ,37.84 
2.97 ,1.88 ,3.33 ,3.11 ,2.07 ,3.50 ,2.57 ,1.44 ,2.89 ,3.06 ,1.65 ,3.45 
5.75 ,5.07 ,5.97 ,2.77 ,2.06 ,3.03 ,9.41 ,10.15 ,9.20 ,12.29 ,12.06 ,12.36 
10.31 ,14.87 ,8.79 ,12.79 ,17.62 ,11.02 ,6.66 ,10.21 ,5.63 ,5.99 ,8.54 ,5.29 
9.75 ,11.07 ,9.31 ,9.60 ,10.51 ,9.27 ,10.17 ,12.44 ,9.51 ,9.61 ,11.51 ,9.09 
11.94 ,14.15 ,11.20 ,13.62 ,16.20 ,12.67 ,9.10 ,9.52 ,8.98 ,9.71 ,11.72 ,9.15 
4.15 ,3.86 ,4.25 ,2.65 ,1.87 ,2.94 ,5.88 ,7.19 ,5.50 ,7.65 ,8.50 ,7.42 
